,cid,podcaster_id,title,episode_count,sub_count,primary_cid,name
3858,3182275,19365308.0,تدبر در قرآن,31,76,,علی صبوحی طسوجی
669,3520837,19399722.0,منفی یک | Manfi Yek,3,76,,Adib Tabatabaie
610,3026076,18965904.0,Radiowski رادیوفسکی,2,75,,Radiowski Podcast
2239,3642779,20631119.0,Gorg O Mish - گرگ و میش,6,75,,Gorg0Mish
2231,4838672,25128666.0,به شدّت فلسفی,2,75,,به شدّت فلسفی
4240,5525738,29262741.0,پادکست کارمان Kaarmaan Podcast,2,75,,Kaarmaan Podcast
4164,3645909,20681534.0,Archoppo/آرچاپو,14,75,,Archoppo
892,5081407,25688493.0,داروچی,19,75,,Daro Chi
1144,2789208,18385784.0,Kondek Show | کندک شو,19,75,,Peyman Yazdani
983,3987842,21238401.0,Ensemble AI | هوش مصنوعی با آنسامبل,1,75,,Soheil Daliran Miab
3811,5543839,30126233.0,شب های روشن,8,75,,Shabhaye_roshan_podcast
3630,1434524,8642269.0,مرکز همبستگی مهاجران,2,75,,behnam daraeizadeh
1332,4548785,20906102.0,رادیو کاست,8,74,,Radio Cassette | رادیو کاست
3605,3096193,19136296.0,پشیمان نیستم,15,74,,Mansoureh Shojaee
704,4567577,18991635.0,رادیو مشق - radio mashq,14,74,,radio mashq
1301,4958652,17249049.0,Khodemooni خودمونی,19,74,,Hossein Afshari
390,2429114,8991560.0,Aminoofsky | پادکست فارسی امینوفسکی,8,74,,Aminoofsky
2220,3743513,20424667.0,اخبار بیت‌یون,34,74,,بیت‌یون
4144,4708706,11088745.0,daadcast | دادکست,7,74,,rasool modarres
1639,2314966,15349741.0,رادیو بورس نیوز,13,74,,Bourse News
882,5562231,31045923.0,پادکست مهاجرتی لانچ پد - Launchpad,4,74,,Give Me Visa
2020,4762585,15336843.0,Podcast 13 --  پادکست سیزده,3,73,,Mohammadreza Rezaniya
3251,2362270,15241539.0,کانون زبان ایران,7,73,,Komeil Mazraee
4306,4494521,15781647.0,مطربکده,9,73,,Amir T
2029,2699486,17910486.0,Radio Bam,8,73,,Radio Bam
1635,4560636,23318510.0,Research Cast,3,73,,research committee
2763,2561360,15545932.0,محمد نبی پور,28,73,,Mohammad Nabipour
1269,3987254,18076241.0,Medixa.ir | رادیو مدیکسا,4,73,,Arshia Shizarpour
1244,2670850,17777022.0,jovepodcast,13,73,,jove podcast
967,4846850,25043205.0,SEDAYE KOOCHE | صدای کوچه,3,73,,Kooche
1362,2811739,18459741.0,پرنده شناسی,6,72,,صان
926,5551706,30464257.0,آرشیو علی,3,72,,آرشیو علی
2746,2681844,15866716.0,صدای تو,12,72,,esmail hoseinzadeh
168,3792266,19446565.0,دغدغه های روزمره ی من,3,72,,mohamadsaber cheshmberah
1375,3525573,19868734.0,RadioMehrazi(رادیو مهرازی),19,72,,Radio Mehrazi
2314,4758622,24599128.0,Onframe آن فریم,7,72,,Alireza Rahmani
4261,5659358,32101107.0,پورن زدگی,5,72,,Arvand Molla
2133,4648819,23791831.0,ویچیپدیا,13,72,,Ainaz
1593,3357888,19693293.0,موزیگرافی | musigraphy,3,72,,آرمان اخلاص پور
274,2373060,12819871.0,Aftab e Binesh | پادکست آفتاب بینش,63,71,,PersianBMS
2073,5022693,26429494.0,Amirhessam & Everything,3,71,,Amirhessam Mirsadeghi
3167,2773121,18320102.0,از هولوکاست تا کوچه های منیریه,1,70,,elahe mousavi
3916,3153762,19083525.0,Chetorestan | چطورستان,9,70,,Morteza Taheri
364,5302528,24779825.0,Final Word - حرف آخر با پوریا زراعتی,60,70,,Radio Iran International
2477,5057111,26635375.0,notkhe shab | نتخ شب,5,70,,aryan sheykhzade
1500,5446112,28803255.0,کاکتوس آبی,5,70,,Mona Johansson
1913,4620181,9419237.0,Holocene podcast|پادکست هولوسین,4,70,,Hooman Shahvari
3906,3321336,17429080.0,خودت را به فنا نده,2,70,,Alireza Sadeghzadeh
3879,3456600,20085454.0,رادیو بینش و دانش,2,70,,Mohsen Jabbareh Asl
4194,4772431,24663815.0,کسب تو,14,70,,KasbeTo
3056,2743935,18193040.0,بهشت 1940,4,70,,ali Abasi
2555,2710442,17855119.0,Infinix | پادکست بینهایت,0,70,,Mehdi Riahi
1417,4926997,19793515.0,پادکست نخ,1,70,,Nakh Podcast
2575,3039329,11794045.0,TAP CAST تپ کست,4,70,,Marjan Shourabi
1443,5006691,26232580.0,K1esfandi,166,70,,keyvan esfandi
3130,2439770,16210655.0,تپلیغ آکادمی,40,70,,Tapligh
2748,2869928,18624905.0,آب و آفتاب,1,70,,mahshid haghighat
726,4941604,25675801.0,خوناو,6,69,,خوناو
1645,4933288,25598730.0,Koodakestan | کودکستان,10,69,,Koodakestan Team
2061,2554579,12549810.0,DarBeDar / رادیو در ب‌ در,2,69,,Pedram Farhadi
659,5587795,28041435.0,رادیو نسترن,48,69,,رادیو نسترن♦️داستان و قصه
1113,2661035,24005458.0,رادیو_گپ,11,69,,Radioo_GAP
1660,2474767,16368459.0,رادیو نور شو,16,69,,Dorin
1537,2585162,11628224.0,Money War | مانی وار,3,69,,Erfan Moradian
579,3739198,21006779.0,Literature with Dr. Karimi-Hakkak ادبیات با دکتر کریمی حکاک,47,69,,Root User
36,4935191,23064620.0,Pause | پاز,3,69,,Mojtaba GhahvechiBashi
2851,2880724,18181486.0,آموزش کسب و کار فراز حیدریان,3,69,,Faraz Heydarian
1666,5451013,11435498.0,Jazz Nights of Tehran - JAZZNOT,25,69,,Jazz Nights Tehran
3987,2998360,16247625.0,سرمایه گذاری برای عموم,1,69,,Amin Tofighi
2161,5518612,29422828.0,30 kg | سی کیلوگرم,6,69,,Ali Bagheri
3847,4522137,19642894.0,قاف کست,3,69,,qafcast
2717,2070328,11277044.0,Persian Audio Books,14,69,,Max Dabiri
3456,2219041,14878632.0,mashverapp,17,68,,mashverapp
3661,3394201,19895152.0,Radio Zheera رادیو ژیرا,1,68,,Ellee Bokharachi
2493,5206512,27233782.0,PolitiKultur,21,68,,Aran Gharibpour
1491,2815284,11362679.0,Radionemoodar | پادکست رادیونمودار,6,68,,محمد علوی
966,3538945,20789955.0,Business Clinic with BARZIN | بیزینس کلینیک با برزین,4,68,,Barzin Ranjbari
1952,3669452,21900686.0,روانگان,5,68,,Ravanegan podcast
4080,5021909,26412516.0,Merlin-ترومتای,10,68,,GerdooTv
2407,2934681,18631832.0,الکترون آزاد,4,68,,الکترون آزاد
304,4805797,12819871.0,Shekoufehaye Chahar Fasl  | پادکست شکوفه‌های چهارفصل,12,68,,PersianBMS
2653,2126074,13401119.0,استارت,2,68,,OjanGroup گروه اوژن
4273,5429231,28667418.0,Ehsan Rezaei,8,68,,Ehsan Rezaei
3848,3119278,19192613.0,رَوان تِراپی,4,68,,Arefeh Barati
3440,2481163,16522685.0,نوار چسب,1,67,,نوار
2571,2764329,18771317.0,JCplus,7,67,,JCplus Podcast
3388,1501685,9809372.0,رسیدن عملی به موفقیت,1,67,,Milad Es
2769,3000217,18906245.0,پادکست کنجکاوی - Konjkavi Podcast,2,67,,Sasan Soloti
